Video Id,Video Title_x,Channel Id_x,Channel Title_x,Video Tags_x,Channel Country_x
P9Gox0bnrR4,Foreigner Reacts to FILIPINO UNIVERSITY! University of Santo Tomas (UST)!,UC1PwIaB8KklVK5iZqbtZErA,Flying Kell,"['flying kell', 'philippines', 'the philippines', 'philippines vlog', 'travel philippines', 'philippines travel', 'travel', 'vlog', 'travel vlog', 'travel vlogger', 'vlogger', 'blogger', 'filipino', 'foreigner in the philippines', 'living in the philippines', 'foreigners in the philippines', 'life in the philippines', 'filipino life', 'filipino vlog', 'university of santo tomas', 'ust', 'university', 'foreigner reaction', 'foreigner', 'foreigners react to filipino', 'manila', 'manila vlog', 'manila philippines', 'filipino university']",NL
NBVO7zfPBgA,Foreigner Tries CHICKEN ADOBO for the FIRST TIME in Manila!,UC1PwIaB8KklVK5iZqbtZErA,Flying Kell,"['flying kell', 'filipino food', 'filipino food trip', 'chicken adobo', 'filipino food taste test', 'foreigners try filipino food', 'filipino food reaction', 'philippines vlog', 'philippines', 'the philippines', 'manila', 'manila vlog', 'travel', 'travel vlog', 'vlog', 'vlogger', 'travel blog', 'philippines travel', 'filipino', 'foreigner', 'foreigner in the philippines', 'foreigners in the philippines', 'life in the philippines', 'living in the philippines', 'filipino life', 'filipino vlog', 'becoming filipino', 'the juicy vlog']",NL
CI12BF_pW34,Foreigner REACTS TO Filipino Giant Lantern Festival! Christmas in the Philippines!,UC1PwIaB8KklVK5iZqbtZErA,Flying Kell,"['flying kell', 'giant lantern festival', 'pampanga lanterns', 'christmas in the philippines', 'christmas in the philippines reaction', 'christmas in the philippines vlog', 'christmas in philippines', 'filipino christmas', 'philippines', 'the philippines', 'manila', 'pampanga', 'philippines vlog', 'manila vlog', 'philippines travel', 'philippines travel vlog', 'foreigner', 'foreigner reaction', 'foreigner reacts', 'filipino', 'vlog', 'travel blog', 'travel vlog', 'daily vlog', 'filipino vlog', 'travel', 'san fernando', 'christmas', 'vlogmas']",NL
xon9s2T0Xxc,Foreigner takes PARENTS to THE PHILIPPINES! Amazing FIRST DAY!,UC1PwIaB8KklVK5iZqbtZErA,Flying Kell,"['flying kell', 'philippines', 'the philippines', 'cebu philippines', 'cebu', 'panglao', 'bohol philippines', 'bohol', 'panglao island', 'panglao bohol', 'alona beach', 'philippines vlog', 'philippines travel vlog', 'cebu vlog', 'bohol vlog', 'philippines travel', 'travel philippines', 'filipino food', 'foreigner', 'foreigner reaction', 'travel', 'vlog', 'travel vlog', 'travel blog', 'blog', 'filipino', 'life in the philippines', 'living in the philippines', 'beach', 'island', 'asia', 'vacation', 'resort']",NL
HWDjWJ5rptg,Foreigner Reacts to FILIPINO SEAFARER LIFE!,UC1PwIaB8KklVK5iZqbtZErA,Flying Kell,"['flying kell', 'philippines', 'philippines vlog', 'philippines travel', 'travel philippines', 'travel', 'vlog', 'travel blog', 'blogger', 'vlogger', 'filipino', 'foreigner in the philippines', 'foreigners in the philippines', 'living in the philippines', 'life in the philippines', 'filipino life', 'filipino vlog', 'seafarers', 'seaman', 'filipino seafarers', 'pinoy seaman', 'filipino seafarer', 'seafarer vlog', 'seaman vlog', 'seafarer', 'foreigner reaction', 'foreigners react to filipino', 'foreigner', 'container ship', 'shipping', 'manila vlog']",NL
fTdNG9dhoBY,I got sick? Foreigner visits hospital in the Philippines...,UC1PwIaB8KklVK5iZqbtZErA,Flying Kell,"['flying kell', 'manila', 'manila vlog', 'philippines', 'the philippines', 'philippines vlog', 'foreigner', 'foreigner reaction', 'foreigner reacts', 'travel philippines', 'philippines travel', 'philippines travel vlog', 'filipino', 'vlog', 'vlogger', 'travel blog', 'travel vlog', 'daily vlog', 'filipino vlog', 'daily vlogger', 'travel vlogger', 'travel', 'life in the philippines', 'living in the philippines', 'living in manila', 'life in manila']",NL
HP3QdU8mdjQ,Changes in Departure requirements for Foreigners in the Philippines travel in 2023,UC1Uvuror_cl9cRcl3h8QhSg,Dr Laway,"['philippines', 'e travel departure card', 'latest travel updates to the philippines', 'philippine departure card', 'latest travel restriction in the philippines', 'e travel latest update', 'etravel registration philippines foreigner', 'departure card philippines 2023', 'daily vlog', 'davao city', 'expat vloggers in the philippines', 'foreigners living in the philippines', 'life in the philippines for an american', 'living in the philippines', 'philippines travel', 'philippines vlog', 'philippines news today']",US
rGI-ybl6hmQ,Why Foreigners Come to Philippines 🇵🇭,UC1Uvuror_cl9cRcl3h8QhSg,Dr Laway,"['Philippines', 'Living in the philippines', 'expat in philippines', 'foreigner living in the philippines', 'life in the philippines for an american', 'american living in the philippines', 'Philippines 2022', 'expat living in the philippines']",US
pcJ4LAgfevg,Foreigners' First Impression of Manila (British - Filipino Couple),UC1Vtf3OTZatknIne-a-5LKg,AlixGrace ,"['Manila', 'Manila Impressions', 'first time in manila', 'Foreigner', 'foreigner reaction to filipino', 'foreigner in the philippines', 'reaction to manila', 'foreigner reaction to manila', 'couple', 'afam', 'afam relationship', 'filipina british vlog', 'travel vlog', 'travel philippines', 'foreigner in the philippines vlog', 'couple vlogs', 'couple vlog philippines', 'manila philippines', 'manila', 'first', 'TriFate Lifestyle', 'FLYING TO MANILA! (London to Philippines 2022)', 'juicy vlog', 'FLYING TO MANILA!']",PH
b4CKtc5lKNM,FOREIGNERS Day In A Life in the Philippines | I COULD LIVE HERE...,UC1Vtf3OTZatknIne-a-5LKg,AlixGrace ,"['foreigner in the philippines', 'foreigner', 'foreigner vlog', 'vlog', 'vlog in philippines', 'quezon city', 'philippines reaction', 'first impression of philippines', 'first', 'impression', 'of', 'philippines', 'golf in philippines', 'golf', 'golf in asia', 'trying golf in philippines', 'couple', 'afam', 'afam couple', 'filipino', 'filipino british', 'manila', 'manila impressions', 'arrived in manila', 'juicy vlog', 'living in the philippines', 'life in the philippines', 'philippines travel', 'FLYING TO MANILA! (London to Philippines 2022)']",PH
